gameId,playId,nflId,jerseyNumber,position,displayName,club,wasInitialPassRusher,play_disguise,quarterbackHit,causedPressure,tackleForALoss
2022101700,3813,35459,22,SS,Kareem Jackson,DEN,0,2.0427464e-05,0,False,0
2022101700,3813,42030,21,CB,K'Waun Williams,DEN,0,7.213958e-05,0,False,0
2022101700,3813,43387,31,FS,Justin Simmons,DEN,0,1.4313419e-05,0,False,0
2022101700,3813,53438,2,CB,Patrick Surtain,DEN,0,3.2367232e-05,0,False,0
2022101700,3813,54580,27,CB,Damarri Mathis,DEN,0,1.754665e-06,0,False,0
2022101608,1317,43407,31,SS,Juston Burris,CAR,1,0.5030668,0,False,0
2022101608,1317,45004,25,FS,Xavier Woods,CAR,0,0.0026378317,0,False,0
2022101608,1317,46124,26,CB,Donte Jackson,CAR,0,0.004348016,0,False,0
2022101608,1317,52417,24,CB,C.J. Henderson,CAR,0,0.01438552,0,False,0
2022101608,1317,52852,38,FS,Myles Hartsfield,CAR,0,0.05151034,0,False,0
2022101601,1919,35466,32,FS,Devin McCourty,NE,0,1.7246883e-06,0,False,0
2022101601,1919,42116,21,FS,Adrian Phillips,NE,0,2.6378457e-06,0,False,0
2022101601,1919,43522,2,CB,Jalen Mills,NE,0,1.1639558e-05,0,False,0
2022101601,1919,52445,23,FS,Kyle Dugger,NE,0,0.053422917,0,False,0
2022101601,1919,52991,27,CB,Myles Bryant,NE,0,0.0028612332,0,False,0
2022101601,1919,54586,13,CB,Jack Jones,NE,0,1.0688153e-06,0,False,0
2022101605,3982,43299,20,CB,Eli Apple,CIN,0,1.4869994e-06,0,False,0
2022101605,3982,43350,24,SS,Vonn Bell,CIN,0,7.928286e-06,0,False,0
2022101605,3982,43641,21,CB,Mike Hilton,CIN,0,0.003953754,0,False,0
2022101605,3982,44872,22,CB,Chidobe Awuzie,CIN,0,5.2390387e-06,0,False,0
2022101605,3982,46123,30,FS,Jessie Bates,CIN,0,5.236409e-06,0,False,0
2022101605,3982,46215,33,CB,Tre Flowers,CIN,0,0.00041677256,0,False,0
2022101604,3174,37078,7,CB,Patrick Peterson,MIN,0,2.2815711e-05,0,False,0
2022101604,3174,38559,22,SS,Harrison Smith,MIN,0,4.1824547e-05,0,False,0
2022101604,3174,46652,39,CB,Chandon Sullivan,MIN,0,0.00011121932,0,False,0
2022101604,3174,52497,3,CB,Cameron Dantzler,MIN,0,8.53737e-06,0,False,0
2022101604,3174,53554,24,FS,Camryn Bynum,MIN,0,2.8874805e-05,0,False,0
2022101600,1215,52424,24,CB,A.J. Terrell,ATL,0,0.0034141361,0,False,0
2022101600,1215,52542,32,FS,Jaylinn Hawkins,ATL,0,2.906096e-06,0,False,0
2022101600,1215,53469,27,SS,Richie Grant,ATL,0,0.007927205,0,False,0
2022101600,1215,53537,34,CB,Darren Hall,ATL,0,9.632377e-05,0,False,0
2022101601,2092,44903,43,SS,John Johnson,CLE,0,1.6567329e-06,0,False,0
2022101601,2092,52452,22,SS,Grant Delpit,CLE,0,0.08553166,0,False,0
2022101601,2092,53455,20,CB,Greg Newsome,CLE,0,3.7265727e-06,0,False,0
2022101601,2092,54533,23,CB,Martin Emerson,CLE,0,0.03267424,0,False,0
2022101602,496,42485,31,FS,Adrian Amos,GB,0,0.47215933,0,False,0
2022101602,496,44911,29,CB,Rasul Douglas,GB,0,0.06020823,0,False,0
2022101602,496,45021,20,FS,Rudy Ford,GB,0,1.9834201e-06,0,False,0
2022101602,496,46087,23,CB,Jaire Alexander,GB,0,0.08951093,0,False,0
2022101602,496,47804,26,SS,Darnell Savage,GB,0,6.741024e-06,0,False,0
2022101602,496,53458,21,CB,Eric Stokes,GB,0,0.00014726656,0,False,0
2022101604,157,37078,7,CB,Patrick Peterson,MIN,0,3.55019e-05,0,False,0
2022101604,157,38559,22,SS,Harrison Smith,MIN,0,5.17113e-06,0,False,0
2022101604,157,52497,3,CB,Cameron Dantzler,MIN,0,1.588352e-06,0,False,0
2022101604,157,53554,24,FS,Camryn Bynum,MIN,0,4.155891e-06,0,False,0
2022101601,3049,35466,32,FS,Devin McCourty,NE,0,6.435738e-06,0,False,0
2022101601,3049,42116,21,FS,Adrian Phillips,NE,0,0.011183886,0,False,0
2022101601,3049,43522,2,CB,Jalen Mills,NE,0,1.4301942e-06,0,False,0
2022101601,3049,52991,27,CB,Myles Bryant,NE,0,0.0016347015,0,False,0
2022101601,3049,54586,13,CB,Jack Jones,NE,0,4.5059237e-06,0,False,0
2022101300,1297,44925,4,FS,Eddie Jackson,CHI,0,0.00011692155,0,False,0
2022101300,1297,52458,33,CB,Jaylon Johnson,CHI,0,0.00092843635,0,False,0
2022101300,1297,52571,22,CB,Kindle Vildor,CHI,0,3.0476856e-06,0,False,0
2022101300,1297,54504,6,CB,Kyler Gordon,CHI,0,0.065665,0,False,0
2022101300,1297,54513,9,SS,Jaquan Brisker,CHI,0,0.00026056467,0,False,0
2022101607,602,45395,35,CB,Arthur Maulet,PIT,0,3.0196883e-05,0,False,0
2022101607,602,46097,34,FS,Terrell Edmunds,PIT,0,3.204706e-05,0,False,0
2022101607,602,46114,16,CB,Josh Jackson,PIT,0,2.8879228e-07,0,False,0
2022101607,602,52697,42,CB,James Pierre,PIT,0,0.044140127,0,False,0
2022101607,602,53674,21,FS,Tre Norwood,PIT,0,0.000110755514,0,False,0
2022101602,2861,41270,29,SS,Lamarcus Joyner,NYJ,0,3.861405e-05,0,False,0
2022101602,2861,46186,3,SS,Jordan Whitehead,NYJ,0,5.658235e-07,0,False,0
2022101602,2861,46211,4,CB,D.J. Reed,NYJ,0,0.00031047026,0,False,0
2022101602,2861,53629,26,CB,Brandin Echols,NYJ,0,0.00019169613,0,False,0
2022101602,2861,54469,1,CB,Ahmad Gardner,NYJ,0,2.3264697e-06,0,False,0
2022101606,3681,44830,22,CB,Adoree' Jackson,NYG,0,1.3053042e-06,0,False,0
2022101606,3681,44893,37,CB,Fabian Moreau,NYG,0,8.276837e-06,0,False,0
