gameId,playId,nflId,jerseyNumber,club,position,displayName,wasInitialPassRusher,disguise_score,quarterbackHit,causedPressure,tackleForALoss
2022101700,3813,35459,22,DEN,SS,Kareem Jackson,0,1.9917901990694103e-05,0,False,0
2022101700,3813,42030,21,DEN,CB,K'Waun Williams,0,7.290030373770657e-05,0,False,0
2022101700,3813,43387,31,DEN,FS,Justin Simmons,0,1.4538132436943448e-05,0,False,0
2022101700,3813,53438,2,DEN,CB,Patrick Surtain,0,3.213952432665637e-05,0,False,0
2022101700,3813,54580,27,DEN,CB,Damarri Mathis,0,1.7540305849277368e-06,0,False,0
2022101608,1317,43407,31,CAR,SS,Juston Burris,1,0.3084497716484902,0,False,0
2022101608,1317,45004,25,CAR,FS,Xavier Woods,0,0.0013450839443882145,0,False,0
2022101608,1317,46124,26,CAR,CB,Donte Jackson,0,0.004446991995676196,0,False,0
2022101608,1317,52417,24,CAR,CB,C.J. Henderson,0,0.028115745044401536,0,False,0
2022101608,1317,52852,38,CAR,FS,Myles Hartsfield,0,0.07633691066804416,0,False,0
2022101601,1919,35466,32,NE,FS,Devin McCourty,0,2.24039477016051e-06,0,False,0
2022101601,1919,42116,21,NE,FS,Adrian Phillips,0,3.281978052360599e-06,0,False,0
2022101601,1919,43522,2,NE,CB,Jalen Mills,0,1.061625452446904e-05,0,False,0
2022101601,1919,52445,23,NE,FS,Kyle Dugger,0,0.05646572827281294,0,False,0
2022101601,1919,52991,27,NE,CB,Myles Bryant,0,0.004976936503797834,0,False,0
2022101601,1919,54586,13,NE,CB,Jack Jones,0,1.172391392275707e-06,0,False,0
2022101605,3982,43299,20,CIN,CB,Eli Apple,0,1.50334187108345e-06,0,False,0
2022101605,3982,43350,24,CIN,SS,Vonn Bell,0,7.966804068165951e-06,0,False,0
2022101605,3982,43641,21,CIN,CB,Mike Hilton,0,0.0038965013666004134,0,False,0
2022101605,3982,44872,22,CIN,CB,Chidobe Awuzie,0,5.216251964334226e-06,0,False,0
2022101605,3982,46123,30,CIN,FS,Jessie Bates,0,5.146713331939435e-06,0,False,0
2022101605,3982,46215,33,CIN,CB,Tre Flowers,0,0.0004098482899926547,0,False,0
2022101604,3174,37078,7,MIN,CB,Patrick Peterson,0,9.437340413088473e-06,0,False,0
2022101604,3174,38559,22,MIN,SS,Harrison Smith,0,3.27438473086221e-05,0,False,0
2022101604,3174,46652,39,MIN,CB,Chandon Sullivan,0,0.00012647759649796742,0,False,0
2022101604,3174,52497,3,MIN,CB,Cameron Dantzler,0,5.681796434086753e-06,0,False,0
2022101604,3174,53554,24,MIN,FS,Camryn Bynum,0,2.8051545578993454e-05,0,False,0
2022101600,1215,52424,24,ATL,CB,A.J. Terrell,0,0.0025838562417965618,0,False,0
2022101600,1215,52542,32,ATL,FS,Jaylinn Hawkins,0,2.3391420977672055e-06,0,False,0
2022101600,1215,53469,27,ATL,SS,Richie Grant,0,0.006523338867812489,0,False,0
2022101600,1215,53537,34,ATL,CB,Darren Hall,0,3.9059654522837804e-05,0,False,0
2022101601,2092,44903,43,CLE,SS,John Johnson,0,2.3946975113554986e-06,0,False,0
2022101601,2092,52452,22,CLE,SS,Grant Delpit,0,0.06271059785582819,0,False,0
2022101601,2092,53455,20,CLE,CB,Greg Newsome,0,4.353983639932662e-06,0,False,0
2022101601,2092,54533,23,CLE,CB,Martin Emerson,0,0.04117168112568351,0,False,0
2022101602,496,42485,31,GB,FS,Adrian Amos,0,0.5243084157540739,0,False,0
2022101602,496,44911,29,GB,CB,Rasul Douglas,0,0.01584580869667781,0,False,0
2022101602,496,45021,20,GB,FS,Rudy Ford,0,1.6523074674588163e-06,0,False,0
2022101602,496,46087,23,GB,CB,Jaire Alexander,0,0.04239638864064764,0,False,0
2022101602,496,47804,26,GB,SS,Darnell Savage,0,8.455605330784322e-06,0,False,0
2022101602,496,53458,21,GB,CB,Eric Stokes,0,9.171048446443974e-05,0,False,0
2022101604,157,37078,7,MIN,CB,Patrick Peterson,0,1.5793373065117826e-05,0,False,0
2022101604,157,38559,22,MIN,SS,Harrison Smith,0,2.3803965218568353e-06,0,False,0
2022101604,157,52497,3,MIN,CB,Cameron Dantzler,0,1.2694744610691963e-06,0,False,0
2022101604,157,53554,24,MIN,FS,Camryn Bynum,0,5.010316971338509e-06,0,False,0
2022101601,3049,35466,32,NE,FS,Devin McCourty,0,6.875371064467174e-06,0,False,0
2022101601,3049,42116,21,NE,FS,Adrian Phillips,0,0.01739167535425075,0,False,0
2022101601,3049,43522,2,NE,CB,Jalen Mills,0,1.3624661355988486e-06,0,False,0
2022101601,3049,52991,27,NE,CB,Myles Bryant,0,0.0022490834042379927,0,False,0
2022101601,3049,54586,13,NE,CB,Jack Jones,0,5.473462582879419e-06,0,False,0
2022101300,1297,44925,4,CHI,FS,Eddie Jackson,0,0.00011647760074945221,0,False,0
2022101300,1297,52458,33,CHI,CB,Jaylon Johnson,0,0.001653289448814052,0,False,0
2022101300,1297,52571,22,CHI,CB,Kindle Vildor,0,2.8372233549457457e-06,0,False,0
2022101300,1297,54504,6,CHI,CB,Kyler Gordon,0,0.051343009069679015,0,False,0
2022101300,1297,54513,9,CHI,SS,Jaquan Brisker,0,6.743664934943092e-05,0,False,0
2022101607,602,45395,35,PIT,CB,Arthur Maulet,0,3.7391638708340694e-05,0,False,0
2022101607,602,46097,34,PIT,FS,Terrell Edmunds,0,2.736173778981239e-05,0,False,0
2022101607,602,46114,16,PIT,CB,Josh Jackson,0,2.4098133903997563e-07,0,False,0
2022101607,602,52697,42,PIT,CB,James Pierre,0,0.052697191278543186,0,False,0
2022101607,602,53674,21,PIT,FS,Tre Norwood,0,9.82417517904385e-05,0,False,0
2022101602,2861,41270,29,NYJ,SS,Lamarcus Joyner,0,1.9651495139969863e-05,0,False,0
2022101602,2861,46186,3,NYJ,SS,Jordan Whitehead,0,4.0140004440791686e-07,0,False,0
2022101602,2861,46211,4,NYJ,CB,D.J. Reed,0,0.00038507072798157254,0,False,0
